Text,Problem,Question,Numbers,Equation,Answer
"Mike made 69.0 dollars mowing lawns over the summer . If he spent 24.0 dollars buying new mower blades , how many 5.0 dollar games could he buy with the money he had left ?","Mike made [NUM] dollars mowing lawns over the summer . If he spent [NUM] dollars buying new mower blades , how many [NUM] dollar games could he buy with the money he had left ?",how many [NUM] dollar games could he buy with the money he had left ?,69.0 24.0 5.0,( n0 - n1 ) / n2,9
"Gwen was organizing her book case making sure each of the shelves had exactly 4.0 books on it . If she had 5.0 shelves of mystery books and 3.0 shelves of picture books , how many books did she have total ?","Gwen was organizing her book case making sure each of the shelves had exactly [NUM] books on it . If she had [NUM] shelves of mystery books and [NUM] shelves of picture books , how many books did she have total ?",how many books did she have total ?,4.0 5.0 3.0,n0 * ( n1 + n2 ),32
"Paul had saved up 4.0 dollars . If he received another 11.0 dollars for his allowance , how many 5.0 dollar toys could he buy ?","Paul had saved up [NUM] dollars . If he received another [NUM] dollars for his allowance , how many [NUM] dollar toys could he buy ?",how many [NUM] dollar toys could he buy ?,4.0 11.0 5.0,( n0 + n1 ) / n2,3
Mary starts with 27.0 eggs . She finds another 4.0 . How many eggs does Mary end with ?,Mary starts with [NUM] eggs . She finds another [NUM] . How many eggs does Mary end with ?,How many eggs does Mary end with ?,27.0 4.0,n0 + n1,31
"Brandy made trail mix for a backpacking trip . She used 0.16666666666666666 pound of peanuts , 0.16666666666666666 pound of chocolate chips , and 0.08333333333333333 pound of raisins . How many pounds of trail mix did Brandy make ?","Brandy made trail mix for a backpacking trip . She used [NUM] pound of peanuts , [NUM] pound of chocolate chips , and [NUM] pound of raisins . How many pounds of trail mix did Brandy make ?",How many pounds of trail mix did Brandy make ?,0.16666666666666666 0.16666666666666666 0.08333333333333333,( n0 + n1 ) + n2,0.41666666666666665
Bridget weighs 39.0 pounds . Martha weighs 2.0 pounds . How much heavier is Bridget than Martha ?,Bridget weighs [NUM] pounds . Martha weighs [NUM] pounds . How much heavier is Bridget than Martha ?,How much heavier is Bridget than Martha ?,39.0 2.0,n0 - n1,37
For Halloween Bianca received 78.0 pieces of candy . She ate 30.0 pieces then placed the rest into piles with 8.0 in each pile . How many piles could she make ?,For Halloween Bianca received [NUM] pieces of candy . She ate [NUM] pieces then placed the rest into piles with [NUM] in each pile . How many piles could she make ?,How many piles could she make ?,78.0 30.0 8.0,( n0 - n1 ) / n2,6
There are 115.0 pencils in the drawer . Sara placed 100.0 pencils in the drawer . How many pencils are now there in all ?,There are [NUM] pencils in the drawer . Sara placed [NUM] pencils in the drawer . How many pencils are now there in all ?,How many pencils are now there in all ?,115.0 100.0,n0 + n1,215
"While playing at the arcade , Luke won 2.0 tickets playing ' whack a mole ' and 13.0 tickets playing ' skee ball ' . If he was trying to buy candy that cost 3.0 tickets a piece , how many could he buy ?","While playing at the arcade , Luke won [NUM] tickets playing ' whack a mole ' and [NUM] tickets playing ' skee ball ' . If he was trying to buy candy that cost [NUM] tickets a piece , how many could he buy ?",how many could he buy ?,2.0 13.0 3.0,( n0 + n1 ) / n2,5
A multi - national corporation has 2041.0 part - time employees and 63093.0 full - time employees . How many employees work for the corporation ?,A multi - national corporation has [NUM] part - time employees and [NUM] full - time employees . How many employees work for the corporation ?,How many employees work for the corporation ?,2041.0 63093.0,n0 + n1,65134
A box of books weighs 42.0 pounds . Each book weighs 3.0 pounds . How many books are there in the box ?,A box of books weighs [NUM] pounds . Each book weighs [NUM] pounds . How many books are there in the box ?,How many books are there in the box ?,42.0 3.0,n0 / n1,14
You have 7.0 balloons and your friend has 5.0 balloons . How many more balloons do you have than your friend ?,You have [NUM] balloons and your friend has [NUM] balloons . How many more balloons do you have than your friend ?,How many more balloons do you have than your friend ?,7.0 5.0,n0 - n1,2
"At lunch a waiter had 10.0 customers and 5.0 of them did n't leave a tip . If he got $ 3.0 each from the ones who did tip , how much money did he earn ?","At lunch a waiter had [NUM] customers and [NUM] of them did n't leave a tip . If he got $ [NUM] each from the ones who did tip , how much money did he earn ?",how much money did he earn ?,10.0 5.0 3.0,n2 * ( n0 - n1 ),15
"There are 17.0 students trying out for the school 's trivia teams . If 5.0 of them did n't get picked for the team and the rest were put into 3.0 groups , how many students would be in each group ?","There are [NUM] students trying out for the school 's trivia teams . If [NUM] of them did n't get picked for the team and the rest were put into [NUM] groups , how many students would be in each group ?",how many students would be in each group ?,17.0 5.0 3.0,( n0 - n1 ) / n2,4
"An oil pipe in the sea broke . Before engineers started to fix the pipe , 2475.0 gallons of oil leaked into the water . A total of 6206.0 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?","An oil pipe in the sea broke . Before engineers started to fix the pipe , [NUM] gallons of oil leaked into the water . A total of [NUM] gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?",How many gallons of oil leaked while the engineers were fixing the pipe ?,2475.0 6206.0,n1 - n0,3731
"If Benjamin skated 80.0 kilometers at 10.0 kilometers per hour , how long was Benjamin skating ?","If Benjamin skated [NUM] kilometers at [NUM] kilometers per hour , how long was Benjamin skating ?",how long was Benjamin skating ?,80.0 10.0,n0 / n1,8
A pet store had 88.0 puppies . In one day they sold 34.0 of them and put the rest into cages with 6.0 in each cage . How many cages did they use ?,A pet store had [NUM] puppies . In one day they sold [NUM] of them and put the rest into cages with [NUM] in each cage . How many cages did they use ?,How many cages did they use ?,88.0 34.0 6.0,( n0 - n1 ) / n2,9
"Dave bought 12.0 boxes of chocolate candy and gave 5.0 to his little brother . If each box has 3.0 pieces inside it , how many pieces did Dave still have ?","Dave bought [NUM] boxes of chocolate candy and gave [NUM] to his little brother . If each box has [NUM] pieces inside it , how many pieces did Dave still have ?",how many pieces did Dave still have ?,12.0 5.0 3.0,n2 * ( n0 - n1 ),21
"Mike found 6.0 seashells and 4.0 starfish , but 4.0 of the seashells were broken . How many unbroken seashells did Mike find ?","Mike found [NUM] seashells and [NUM] starfish , but [NUM] of the seashells were broken . How many unbroken seashells did Mike find ?",How many unbroken seashells did Mike find ?,6.0 4.0 4.0,n0 - n1,2
"There are 64.0 students trying out for the school 's trivia teams . If 36.0 of them did n't get picked for the team and the rest were put into 4.0 groups , how many students would be in each group ?","There are [NUM] students trying out for the school 's trivia teams . If [NUM] of them did n't get picked for the team and the rest were put into [NUM] groups , how many students would be in each group ?",how many students would be in each group ?,64.0 36.0 4.0,( n0 - n1 ) / n2,7
Mrs. Hilt bought 3.0 pizzas for $ 8.0 each . What was the total amount she paid for the three pizzas ?,Mrs. Hilt bought [NUM] pizzas for $ [NUM] each . What was the total amount she paid for the three pizzas ?,What was the total amount she paid for the three pizzas ?,3.0 8.0,n0 * n1,24
"The school cafeteria ordered 43.0 red apples and 32.0 green apples for students lunches . But , if only 2.0 students wanted fruit , how many extra did the cafeteria end up with ?","The school cafeteria ordered [NUM] red apples and [NUM] green apples for students lunches . But , if only [NUM] students wanted fruit , how many extra did the cafeteria end up with ?",how many extra did the cafeteria end up with ?,43.0 32.0 2.0,( n0 + n1 ) - n2,73
"There were 39.0 girls and 4.0 boys trying out for the schools basketball team . If only 26.0 of them got called back , how many students did n't make the cut ?","There were [NUM] girls and [NUM] boys trying out for the schools basketball team . If only [NUM] of them got called back , how many students did n't make the cut ?",how many students did n't make the cut ?,39.0 4.0 26.0,( n0 + n1 ) - n2,17
Each ticket costs $ 9.0 . How much do 4.0 tickets cost ?,Each ticket costs $ [NUM] . How much do [NUM] tickets cost ?,How much do [NUM] tickets cost ?,9.0 4.0,n0 * n1,36
"Recently , the value of Kate 's retirement fund decreased by $ 12.0 . If her fund was worth $ 1472.0 before , how much is it worth now ?","Recently , the value of Kate 's retirement fund decreased by $ [NUM] . If her fund was worth $ [NUM] before , how much is it worth now ?",how much is it worth now ?,12.0 1472.0,n1 - n0,1460
A sandbox is 312.0 centimeters long and 146.0 centimeters wide . How many square centimeters of ground does the sandbox cover ?,A sandbox is [NUM] centimeters long and [NUM] centimeters wide . How many square centimeters of ground does the sandbox cover ?,How many square centimeters of ground does the sandbox cover ?,312.0 146.0,n0 * n1,45552
"A pet store has 9.0 bird cages . If each cage has 2.0 parrots and 6.0 parakeets in it , how many birds does the pet store have total ?","A pet store has [NUM] bird cages . If each cage has [NUM] parrots and [NUM] parakeets in it , how many birds does the pet store have total ?",how many birds does the pet store have total ?,9.0 2.0 6.0,n0 * ( n1 + n2 ),72
Mrs. Hilt bought an ice cream cone for 99.0 cents . How much would 2.0 ice cream cones cost ?,Mrs. Hilt bought an ice cream cone for [NUM] cents . How much would [NUM] ice cream cones cost ?,How much would [NUM] ice cream cones cost ?,99.0 2.0,n0 * n1,198
Sally has 6.0 blue balloons . Fred has 3.0 times more blue balloons than Sally . How many blue balloons does Fred have now ?,Sally has [NUM] blue balloons . Fred has [NUM] times more blue balloons than Sally . How many blue balloons does Fred have now ?,How many blue balloons does Fred have now ?,6.0 3.0,n0 * n1,18
"If Joan bicycled 25.0 miles at 5.0 miles per hour , how long was Joan travelling ?","If Joan bicycled [NUM] miles at [NUM] miles per hour , how long was Joan travelling ?",how long was Joan travelling ?,25.0 5.0,n0 / n1,5
"Each child has 5.0 bottle caps . If there are 9.0 children , how many bottle caps are there in total ?","Each child has [NUM] bottle caps . If there are [NUM] children , how many bottle caps are there in total ?",how many bottle caps are there in total ?,5.0 9.0,n0 * n1,45
Jesse ’ s room is 12.0 feet long and 8.0 feet wide . How much carpet does she need to cover the whole floor ?,Jesse ’ s room is [NUM] feet long and [NUM] feet wide . How much carpet does she need to cover the whole floor ?,How much carpet does she need to cover the whole floor ?,12.0 8.0,n0 * n1,96
There are 96.0 cupcakes for 8.0 children to share . How much will each person get if they share the cupcakes equally ?,There are [NUM] cupcakes for [NUM] children to share . How much will each person get if they share the cupcakes equally ?,How much will each person get if they share the cupcakes equally ?,96.0 8.0,n0 / n1,12
Nancy has 7.0 black balloons . Mary has 4.0 times more black balloons than Nancy . How many black balloons does Mary have now ?,Nancy has [NUM] black balloons . Mary has [NUM] times more black balloons than Nancy . How many black balloons does Mary have now ?,How many black balloons does Mary have now ?,7.0 4.0,n0 * n1,28
"The junior ranger asked Christian to help him place 420.0 seedlings in packets . If every packet needs to contain 7.0 seeds , how many packets do they need ?","The junior ranger asked Christian to help him place [NUM] seedlings in packets . If every packet needs to contain [NUM] seeds , how many packets do they need ?",how many packets do they need ?,420.0 7.0,n0 / n1,60
"A pet store has 6.0 bird cages . If each cage has 6.0 parrots and 2.0 parakeets in it , how many birds does the pet store have total ?","A pet store has [NUM] bird cages . If each cage has [NUM] parrots and [NUM] parakeets in it , how many birds does the pet store have total ?",how many birds does the pet store have total ?,6.0 6.0 2.0,n0 * ( n1 + n2 ),48
For Halloween Haley scored 33.0 pieces of candy . She ate 17.0 pieces the first night and then her sister gave her 19.0 more pieces . How many pieces of candy does Haley have now ?,For Halloween Haley scored [NUM] pieces of candy . She ate [NUM] pieces the first night and then her sister gave her [NUM] more pieces . How many pieces of candy does Haley have now ?,How many pieces of candy does Haley have now ?,33.0 17.0 19.0,( n0 + n2 ) - n1,35
"There were originally 20817.0 houses in Lincoln County . During a housing boom , developers built 97741.0 . How many houses are there now in Lincoln County ?","There were originally [NUM] houses in Lincoln County . During a housing boom , developers built [NUM] . How many houses are there now in Lincoln County ?",How many houses are there now in Lincoln County ?,20817.0 97741.0,n0 + n1,118558
The Hawks scored 3.0 touchdowns worth 7.0 points each . How many points do they have ?,The Hawks scored [NUM] touchdowns worth [NUM] points each . How many points do they have ?,How many points do they have ?,3.0 7.0,n0 * n1,21
Sara picked 6.0 pears and Tim picked 5.0 pears from the pear tree . How many pears were picked in total ?,Sara picked [NUM] pears and Tim picked [NUM] pears from the pear tree . How many pears were picked in total ?,How many pears were picked in total ?,6.0 5.0,n0 + n1,11
"Soft drinks are on sale at the grocery store for 2.99 dollars for a 12.0 pack . How much would each can of soft drink cost if purchased individually , in dollars ?","Soft drinks are on sale at the grocery store for [NUM] dollars for a [NUM] pack . How much would each can of soft drink cost if purchased individually , in dollars ?","How much would each can of soft drink cost if purchased individually , in dollars ?",2.99 12.0,n0 / n1,0.2491666666666666666666666667
"Paige had 43.0 math problems and 12.0 science problems for homework . If she finished 44.0 of the problems at school , how many problems did she have to do for homework ?","Paige had [NUM] math problems and [NUM] science problems for homework . If she finished [NUM] of the problems at school , how many problems did she have to do for homework ?",how many problems did she have to do for homework ?,43.0 12.0 44.0,( n0 + n1 ) - n2,11
"The school cafeteria ordered 25.0 red apples and 17.0 green apples for students lunches . But , if only 10.0 students wanted fruit , how many extra did the cafeteria end up with ?","The school cafeteria ordered [NUM] red apples and [NUM] green apples for students lunches . But , if only [NUM] students wanted fruit , how many extra did the cafeteria end up with ?",how many extra did the cafeteria end up with ?,25.0 17.0 10.0,( n0 + n1 ) - n2,32
Mandy made an apple pie . She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg . How much more cinnamon than nutmeg did Mandy use ?,Mandy made an apple pie . She used [NUM] tablespoon of cinnamon and [NUM] tablespoon of nutmeg . How much more cinnamon than nutmeg did Mandy use ?,How much more cinnamon than nutmeg did Mandy use ?,0.6666666666666666 0.5,n0 - n1,0.1666666666666666
"Bridget has 4.0 Skittles . Henry has 4.0 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?","Bridget has [NUM] Skittles . Henry has [NUM] Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",how many Skittles will Bridget have ?,4.0 4.0,n0 + n1,8
"A textbook costs a bookstore 44.0 dollars , and the store sells it for 55.0 dollars . Find the amount of profit based on the selling price .","A textbook costs a bookstore [NUM] dollars , and the store sells it for [NUM] dollars . Find the amount of profit based on the selling price .",Find the amount of profit based on the selling price .,44.0 55.0,n1 - n0,11
"Each child has 5.0 bottle caps . If there are 9.0 children , how many bottle caps are there in total ?","Each child has [NUM] bottle caps . If there are [NUM] children , how many bottle caps are there in total ?",how many bottle caps are there in total ?,5.0 9.0,n0 * n1,45
"While playing a trivia game , Mike answered 3.0 questions correct in the first half and 5.0 questions correct in the second half . If each question was worth 3.0 points , what was his final score ?","While playing a trivia game , Mike answered [NUM] questions correct in the first half and [NUM] questions correct in the second half . If each question was worth [NUM] points , what was his final score ?",what was his final score ?,3.0 5.0 3.0,n2 * ( n0 + n1 ),24
"At Mrs. Hilt 's house , there was 29.0 inches of snow , and Brecknock Elementary School received 17.0 inches of snow . How much more snow did Mrs. Hilt 's house have ?","At Mrs. Hilt 's house , there was [NUM] inches of snow , and Brecknock Elementary School received [NUM] inches of snow . How much more snow did Mrs. Hilt 's house have ?",How much more snow did Mrs. Hilt 's house have ?,29.0 17.0,n0 - n1,12
At a company picnic 9.0 managers and 15.0 employees decided to start a game of volleyball . If they split into 8.0 teams how many people would be on each team ?,At a company picnic [NUM] managers and [NUM] employees decided to start a game of volleyball . If they split into [NUM] teams how many people would be on each team ?,how many people would be on each team ?,9.0 15.0 8.0,( n0 + n1 ) / n2,3
"There were 7.0 friends playing a video game online when 2.0 more players joined the game . If each player had 7.0 lives , how many lives did they have total ?","There were [NUM] friends playing a video game online when [NUM] more players joined the game . If each player had [NUM] lives , how many lives did they have total ?",how many lives did they have total ?,7.0 2.0 7.0,n2 * ( n0 + n1 ),63
Anna starts with 5.0 candies . She gets 86.0 more from Larry . How many candies does Anna end with ?,Anna starts with [NUM] candies . She gets [NUM] more from Larry . How many candies does Anna end with ?,How many candies does Anna end with ?,5.0 86.0,n0 + n1,91
