Text,Problem,Question,Numbers,Equation,Answer
jerry had 8 action figures and 9 books on a shelf in his room . later he added 10 more books to the shelf . how many more action figures than books were on his shelf ?,jerry had [NUM] action figures and [NUM] books on a shelf in his room . later he added [NUM] more books to the shelf . how many more action figures than books were on his shelf ?,how many more action figures than books were on his shelf ?,8 9 10,n1 + n2,19
jerry had 8 action figures and 9 books on a shelf in his room . later he added 10 more books to the shelf . how many more books than action figures were on his shelf ?,jerry had [NUM] action figures and [NUM] books on a shelf in his room . later he added [NUM] more books to the shelf . how many more books than action figures were on his shelf ?,how many more books than action figures were on his shelf ?,8 9 10,n1 + n2,19
jerry had 7 books and 3 action figures on a shelf in his room . later he added 2 more action figures to the shelf . how many more action figures than books were on his shelf ?,jerry had [NUM] books and [NUM] action figures on a shelf in his room . later he added [NUM] more action figures to the shelf . how many more action figures than books were on his shelf ?,how many more action figures than books were on his shelf ?,7 3 2,n0 - ( n1 + n2 ),2
3 birds and 2 storks were sitting on the fence . 5 more birds came to join them . how many birds are sitting on the fence ?,[NUM] birds and [NUM] storks were sitting on the fence . [NUM] more birds came to join them . how many birds are sitting on the fence ?,how many birds are sitting on the fence ?,3 2 5,( n0 + n2 ) + n1,10
3 birds and 2 storks were sitting on the fence . 5 more birds came to join them . how many more birds than storks are sitting on the fence ?,[NUM] birds and [NUM] storks were sitting on the fence . [NUM] more birds came to join them . how many more birds than storks are sitting on the fence ?,how many more birds than storks are sitting on the fence ?,3 2 5,( n0 + n2 ) + n1,10
3 birds and 2 storks were sitting on the fence . 5 more birds came to join them . how many more storks than birds are sitting on the fence ?,[NUM] birds and [NUM] storks were sitting on the fence . [NUM] more birds came to join them . how many more storks than birds are sitting on the fence ?,how many more storks than birds are sitting on the fence ?,3 2 5,( n0 + n2 ) + n1,10
4 birds and 3 storks were sitting on the fence . 6 more storks came to join them . how many storks are sitting on the fence ?,[NUM] birds and [NUM] storks were sitting on the fence . [NUM] more storks came to join them . how many storks are sitting on the fence ?,how many storks are sitting on the fence ?,4 3 6,( n1 + n2 ) - n0,5
4 birds and 3 storks were sitting on the fence . 6 more storks came to join them . how many birds and storks are sitting on the fence ?,[NUM] birds and [NUM] storks were sitting on the fence . [NUM] more storks came to join them . how many birds and storks are sitting on the fence ?,how many birds and storks are sitting on the fence ?,4 3 6,( n1 + n2 ) - n0,5
4 birds and 3 storks were sitting on the fence . 6 more storks came to join them . how many more birds than storks are sitting on the fence ?,[NUM] birds and [NUM] storks were sitting on the fence . [NUM] more storks came to join them . how many more birds than storks are sitting on the fence ?,how many more birds than storks are sitting on the fence ?,4 3 6,( n1 + n2 ) - n0,5
6 birds were sitting on the fence . 4 more birds and 8 more storks came to join them . how many more birds than storks are sitting on the fence ?,[NUM] birds were sitting on the fence . [NUM] more birds and [NUM] more storks came to join them . how many more birds than storks are sitting on the fence ?,how many more birds than storks are sitting on the fence ?,6 4 8,n0 + n1,10
6 birds were sitting on the fence . 4 more birds and 8 more storks came to join them . how many more storks than birds are sitting on the fence ?,[NUM] birds were sitting on the fence . [NUM] more birds and [NUM] more storks came to join them . how many more storks than birds are sitting on the fence ?,how many more storks than birds are sitting on the fence ?,6 4 8,n0 + n1,10
5 storks and 3 birds were sitting on the fence . 4 more birds came to join them . how many more storks than birds are sitting on the fence ?,[NUM] storks and [NUM] birds were sitting on the fence . [NUM] more birds came to join them . how many more storks than birds are sitting on the fence ?,how many more storks than birds are sitting on the fence ?,5 3 4,( n1 + n2 ) - n0,2
a book has 2 chapters . the first chapter is 37 pages long . the second chapter is 80 pages long . how many more pages does the first chapter have than the second chapter ?,a book has [NUM] chapters . the first chapter is [NUM] pages long . the second chapter is [NUM] pages long . how many more pages does the first chapter have than the second chapter ?,how many more pages does the first chapter have than the second chapter ?,2 37 80,n2 - n1,43
a book has 3 chapters . the first chapter is 35 pages long the second chapter is 18 pages long and the third chapter is 3 pages long . how many pages does the book have altogether ?,a book has [NUM] chapters . the first chapter is [NUM] pages long the second chapter is [NUM] pages long and the third chapter is [NUM] pages long . how many pages does the book have altogether ?,how many pages does the book have altogether ?,3 35 18 3,n2 - n0,15
a book has 3 chapters . the first chapter is 35 pages long the second chapter is 18 pages long and the third chapter is 3 pages long . how many more pages does the first chapter have than the second chapter ?,a book has [NUM] chapters . the first chapter is [NUM] pages long the second chapter is [NUM] pages long and the third chapter is [NUM] pages long . how many more pages does the first chapter have than the second chapter ?,how many more pages does the first chapter have than the second chapter ?,3 35 18 3,n2 - n0,15
a book has 3 chapters . the first chapter is 35 pages long the second chapter is 18 pages long and the third chapter is 3 pages long . how many more pages does the first chapter have than the third chapter ?,a book has [NUM] chapters . the first chapter is [NUM] pages long the second chapter is [NUM] pages long and the third chapter is [NUM] pages long . how many more pages does the first chapter have than the third chapter ?,how many more pages does the first chapter have than the third chapter ?,3 35 18 3,n2 - n0,15
52 campers went rowing in the morning . 61 campers went rowing in the afternoon . how many more campers went rowing in the morning than in the afternoon ?,[NUM] campers went rowing in the morning . [NUM] campers went rowing in the afternoon . how many more campers went rowing in the morning than in the afternoon ?,how many more campers went rowing in the morning than in the afternoon ?,52 61,n1 - n0,9
44 campers went rowing in the morning 39 campers went rowing in the afternoon and 31 campers went rowing in the evening . how many campers went rowing in all ?,[NUM] campers went rowing in the morning [NUM] campers went rowing in the afternoon and [NUM] campers went rowing in the evening . how many campers went rowing in all ?,how many campers went rowing in all ?,44 39 31,n0 - n1,5
44 campers went rowing in the morning 39 campers went rowing in the afternoon and 31 campers went rowing in the evening . how many more campers went rowing in the morning than in the evening ?,[NUM] campers went rowing in the morning [NUM] campers went rowing in the afternoon and [NUM] campers went rowing in the evening . how many more campers went rowing in the morning than in the evening ?,how many more campers went rowing in the morning than in the evening ?,44 39 31,n0 - n1,5
44 campers went rowing in the morning 39 campers went rowing in the afternoon and 31 campers went rowing in the evening . how many more campers went rowing in the afternoon than in the evening ?,[NUM] campers went rowing in the morning [NUM] campers went rowing in the afternoon and [NUM] campers went rowing in the evening . how many more campers went rowing in the afternoon than in the evening ?,how many more campers went rowing in the afternoon than in the evening ?,44 39 31,n0 - n1,5
29 campers went rowing and 66 campers went hiking in the morning . 26 campers went rowing in the afternoon . how many campers went rowing in all ?,[NUM] campers went rowing and [NUM] campers went hiking in the morning . [NUM] campers went rowing in the afternoon . how many campers went rowing in all ?,how many campers went rowing in all ?,29 66 26,n0 - n2,3
29 campers went rowing and 66 campers went hiking in the morning . 26 campers went rowing in the afternoon . how many campers went rowing and hiking in all ?,[NUM] campers went rowing and [NUM] campers went hiking in the morning . [NUM] campers went rowing in the afternoon . how many campers went rowing and hiking in all ?,how many campers went rowing and hiking in all ?,29 66 26,n0 - n2,3
rachel picked 7 ripe apples from her tree . now the tree has 5 apples still on it . if 3 of those are ripe and the rest are unripe how many ripe apples did the tree have to begin with ?,rachel picked [NUM] ripe apples from her tree . now the tree has [NUM] apples still on it . if [NUM] of those are ripe and the rest are unripe how many ripe apples did the tree have to begin with ?,how many ripe apples did the tree have to begin with ?,7 5 3,n1 - n2,2
rachel picked 6 ripe apples from her tree . now the tree has 2 ripe apples and 4 unripe apples . how many ripe apples did the tree have to begin with ?,rachel picked [NUM] ripe apples from her tree . now the tree has [NUM] ripe apples and [NUM] unripe apples . how many ripe apples did the tree have to begin with ?,how many ripe apples did the tree have to begin with ?,6 2 4,( n0 + n1 ) + n2,12
rachel has 3 apples trees . she picked 8 apples from each of her trees . now the trees have a total 9 apples still on them . how many apples did rachel pick in all ?,rachel has [NUM] apples trees . she picked [NUM] apples from each of her trees . now the trees have a total [NUM] apples still on them . how many apples did rachel pick in all ?,how many apples did rachel pick in all ?,3 8 9,( n0 * n1 ) + n2,33
ed had 6 more marbles than doug . doug lost 7 of his marbles at the playground . if ed had 22 marbles how many more marbles did ed have than doug then ?,ed had [NUM] more marbles than doug . doug lost [NUM] of his marbles at the playground . if ed had [NUM] marbles how many more marbles did ed have than doug then ?,how many more marbles did ed have than doug then ?,6 7 22,( n2 - n0 ) - n1,9
ed had 6 more marbles than doug . doug lost 7 of his marbles at the playground . if ed had 22 marbles how many marbles did doug have initially ?,ed had [NUM] more marbles than doug . doug lost [NUM] of his marbles at the playground . if ed had [NUM] marbles how many marbles did doug have initially ?,how many marbles did doug have initially ?,6 7 22,( n2 - n0 ) - n1,9
ed had 30 more marbles than doug . ed lost 21 of his marbles at the playground . if ed had 91 marbles how many marbles does doug have now ?,ed had [NUM] more marbles than doug . ed lost [NUM] of his marbles at the playground . if ed had [NUM] marbles how many marbles does doug have now ?,how many marbles does doug have now ?,30 21 91,n0 - n1,9
because of the decision sofia asked the students to suggest specific types of food . if 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu how many more students suggested bacon than those that suggested mashed potatoes ?,because of the decision sofia asked the students to suggest specific types of food . if [NUM] students suggested adding mashed potatoes while [NUM] suggested adding bacon to the menu how many more students suggested bacon than those that suggested mashed potatoes ?,how many more students suggested bacon than those that suggested mashed potatoes ?,408 42,n0 - n1,366
because of the decision sofia asked the students to suggest specific types of food . if 324 students suggested adding mashed potatoes 374 suggested adding bacon to the menu and 128 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon ?,because of the decision sofia asked the students to suggest specific types of food . if [NUM] students suggested adding mashed potatoes [NUM] suggested adding bacon to the menu and [NUM] suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon ?,how many more students suggested mashed potatoes than those that suggested bacon ?,324 374 128,( n0 + n1 ) + n2,826
because of the decision sofia asked the students to suggest specific types of food . if 324 students suggested adding mashed potatoes 374 suggested adding bacon to the menu and 128 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested tomatoes ?,because of the decision sofia asked the students to suggest specific types of food . if [NUM] students suggested adding mashed potatoes [NUM] suggested adding bacon to the menu and [NUM] suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested tomatoes ?,how many more students suggested mashed potatoes than those that suggested tomatoes ?,324 374 128,( n0 + n1 ) + n2,826
because of the decision sofia asked the students to suggest specific types of food . if 324 students suggested adding mashed potatoes 374 suggested adding bacon to the menu and 128 suggested adding tomatoes how many more students suggested bacon than those that suggested tomatoes ?,because of the decision sofia asked the students to suggest specific types of food . if [NUM] students suggested adding mashed potatoes [NUM] suggested adding bacon to the menu and [NUM] suggested adding tomatoes how many more students suggested bacon than those that suggested tomatoes ?,how many more students suggested bacon than those that suggested tomatoes ?,324 374 128,( n0 + n1 ) + n2,826
in a school there are 34 girls and 841 boys . how many more girls than boys does the school have ?,in a school there are [NUM] girls and [NUM] boys . how many more girls than boys does the school have ?,how many more girls than boys does the school have ?,34 841,n1 - n0,807
in a school there are 700 girls and the rest are boys . if there are 142 more boys than girls how many boys are there in that school ?,in a school there are [NUM] girls and the rest are boys . if there are [NUM] more boys than girls how many boys are there in that school ?,how many boys are there in that school ?,700 142,( n0 + n0 ) + n1,1542
in a school there are 697 girls and the rest are boys . if there are 228 more girls than boys how many pupils are there in that school ?,in a school there are [NUM] girls and the rest are boys . if there are [NUM] more girls than boys how many pupils are there in that school ?,how many pupils are there in that school ?,697 228,n0 - n1,469
in a school there are 706 girls and 222 boys . 418 more girls joined the school . how many girls are there in the school now ?,in a school there are [NUM] girls and [NUM] boys . [NUM] more girls joined the school . how many girls are there in the school now ?,how many girls are there in the school now ?,706 222 418,( n0 + n1 ) + n2,1346
in a school there are 706 girls and 222 boys . 418 more girls joined the school . how many more girls than boys does the school have ?,in a school there are [NUM] girls and [NUM] boys . [NUM] more girls joined the school . how many more girls than boys does the school have ?,how many more girls than boys does the school have ?,706 222 418,( n0 + n1 ) + n2,1346
in a school there are 732 girls and 761 boys . 682 more girls and 8 more boys joined the school . how many boys are there in the school now ?,in a school there are [NUM] girls and [NUM] boys . [NUM] more girls and [NUM] more boys joined the school . how many boys are there in the school now ?,how many boys are there in the school now ?,732 761 682 8,n0 + n2,1414
in a school there are 308 girls and 318 boys . there are also 36 teachers how many people are there in that school ?,in a school there are [NUM] girls and [NUM] boys . there are also [NUM] teachers how many people are there in that school ?,how many people are there in that school ?,308 318 36,n0 + n1,626
in a school there are there are 402 more girls than boys . if there are 739 girls how many pupils are there in that school ?,in a school there are there are [NUM] more girls than boys . if there are [NUM] girls how many pupils are there in that school ?,how many pupils are there in that school ?,402 739,n1 - n0,337
edward spent $ 16 to buy 92 books each book costing him the same amount of money . now he has $ 6 . how much did each book cost ?,edward spent $ [NUM] to buy [NUM] books each book costing him the same amount of money . now he has $ [NUM] . how much did each book cost ?,how much did each book cost ?,16 92 6,n0 + n2,22
edward spent $ 4 to buy books and $ 3 to buy pens . now he has $ 12 . how much did edward have before he spent his money ?,edward spent $ [NUM] to buy books and $ [NUM] to buy pens . now he has $ [NUM] . how much did edward have before he spent his money ?,how much did edward have before he spent his money ?,4 3 12,n0 + n1,7
edward spent $ 4 to buy books and $ 3 to buy pens . now he has $ 12 . how much more did edward spend on books than pens ?,edward spent $ [NUM] to buy books and $ [NUM] to buy pens . now he has $ [NUM] . how much more did edward spend on books than pens ?,how much more did edward spend on books than pens ?,4 3 12,n0 + n1,7
david did 51 push-ups in gym class today . david did 49 more push-ups than zachary . how many push-ups did zachary do ?,david did [NUM] push-ups in gym class today . david did [NUM] more push-ups than zachary . how many push-ups did zachary do ?,how many push-ups did zachary do ?,51 49,( n0 + n0 ) - n1,53
zachary did 44 push-ups and 17 crunches in gym class today . david did 29 more push-ups but 13 less crunches than zachary . how many push-ups did david do ?,zachary did [NUM] push-ups and [NUM] crunches in gym class today . david did [NUM] more push-ups but [NUM] less crunches than zachary . how many push-ups did david do ?,how many push-ups did david do ?,44 17 29 13,n1 - n3,4
zachary did 44 push-ups and 17 crunches in gym class today . david did 29 more push-ups but 13 less crunches than zachary . how many push-ups and crunches did zachary do ?,zachary did [NUM] push-ups and [NUM] crunches in gym class today . david did [NUM] more push-ups but [NUM] less crunches than zachary . how many push-ups and crunches did zachary do ?,how many push-ups and crunches did zachary do ?,44 17 29 13,n1 - n3,4
zachary did 44 push-ups and 17 crunches in gym class today . david did 29 more push-ups but 13 less crunches than zachary . how many more push-ups than crunches did zachary do ?,zachary did [NUM] push-ups and [NUM] crunches in gym class today . david did [NUM] more push-ups but [NUM] less crunches than zachary . how many more push-ups than crunches did zachary do ?,how many more push-ups than crunches did zachary do ?,44 17 29 13,n1 - n3,4
zachary did 44 push-ups and 17 crunches in gym class today . david did 29 more push-ups but 13 less crunches than zachary . how many more crunches than push-ups did zachary do ?,zachary did [NUM] push-ups and [NUM] crunches in gym class today . david did [NUM] more push-ups but [NUM] less crunches than zachary . how many more crunches than push-ups did zachary do ?,how many more crunches than push-ups did zachary do ?,44 17 29 13,n1 - n3,4
zachary did 15 push-ups in gym class today . david did 39 more push-ups than zachary . john did 9 push-ups less than david . how many push-ups did david do ?,zachary did [NUM] push-ups in gym class today . david did [NUM] more push-ups than zachary . john did [NUM] push-ups less than david . how many push-ups did david do ?,how many push-ups did david do ?,15 39 9,n1 - n2,30
