Text,Problem,Question,Numbers,Equation,Answer,Constants
强强的爸爸和妈妈在外地打工，爸爸每月给强强寄458元的生活费，妈妈每月给强强寄447元的生活费．强强的爸爸和妈妈每月一共给强强寄多少元的生活费？,强强的爸爸和妈妈在外地打工，爸爸每月给强强寄 [NUM] 元的生活费，妈妈每月给强强寄 [NUM] 元的生活费．强强的爸爸和妈妈每月一共给强强寄多少元的生活费？,强强的爸爸和妈妈每月一共给强强寄多少元的生活费？,458 447,n0 + n1,905.0,
一本故事书有438页，小亮看了202页，小亮还剩多少页没有看？,一本故事书有 [NUM] 页，小亮看了 [NUM] 页，小亮还剩多少页没有看？,小亮还剩多少页没有看？,438 202,n0 - n1,236.0,
肥皂厂生产了936块香皂，如果每盒装24块，能装满多少盒？,肥皂厂生产了 [NUM] 块香皂，如果每盒装 [NUM] 块，能装满多少盒？,能装满多少盒？,936 24,n0 / n1,39.0,
小林家客厅长7.2米，宽4.5米，装修时他爸爸准备给客厅铺上每平方米785元的复合板，需要准备多少钱？,小林家客厅长 [NUM] 米，宽 [NUM] 米，装修时他爸爸准备给客厅铺上每平方米 [NUM] 元的复合板，需要准备多少钱？,需要准备多少钱？,7.2 4.5 785,( n0 * n1 ) * n2,25434.0,
商场里的糖果每盒14.6元，饼干每盒29.8元。李叔叔要买4盒糖果和2盒饼干。请你算一算，李叔叔需要带多少钱？,商场里的糖果每盒 [NUM] 元，饼干每盒 [NUM] 元。李叔叔要买 [NUM] 盒糖果和 [NUM] 盒饼干。请你算一算，李叔叔需要带多少钱？,李叔叔需要带多少钱？,14.6 29.8 4 2,( n0 * n2 ) + ( n1 * n3 ),118.0,
菜店有西红柿240千克，卖出了180千克后，又运来了150千克，菜店现在有多少千克西红柿？,菜店有西红柿 [NUM] 千克，卖出了 [NUM] 千克后，又运来了 [NUM] 千克，菜店现在有多少千克西红柿？,菜店现在有多少千克西红柿？,240 180 150,( n0 - n1 ) + n2,210.0,
城东新区新修了一条道路，全长1500米，在这条道路的一侧从头到尾每隔60米安装一盏路灯，相邻两盏路灯之间等距离地栽2株侧柏．共栽种了多少株侧柏？,城东新区新修了一条道路，全长 [NUM] 米，在这条道路的一侧从头到尾每隔 [NUM] 米安装一盏路灯，相邻两盏路灯之间等距离地栽 [NUM] 株侧柏．共栽种了多少株侧柏？,共栽种了多少株侧柏？,1500 60 2,( n0 / n1 ) * n2,50.0,
一份稿件每分钟打64个字，需要15分钟完成。如果每分钟打80个字，需要多少分钟完成？,一份稿件每分钟打 [NUM] 个字，需要 [NUM] 分钟完成。如果每分钟打 [NUM] 个字，需要多少分钟完成？,需要多少分钟完成？,64 15 80,( n0 * n1 ) / n2,12.0,
长方形菜园长15米，宽12米，现在将它的宽增加1.2米，那么长方形菜园的面积增加了多少平方米？,长方形菜园长 [NUM] 米，宽 [NUM] 米，现在将它的宽增加 [NUM] 米，那么长方形菜园的面积增加了多少平方米？,那么长方形菜园的面积增加了多少平方米？,15 12 1.2,( n0 * ( n1 + n2 ) ) - ( n0 * n1 ),18.0,
刘叔叔带1000元买化肥，买了24袋同一种化肥，剩40元。每袋化肥的价钱是多少？,刘叔叔带 [NUM] 元买化肥，买了 [NUM] 袋同一种化肥，剩 [NUM] 元。每袋化肥的价钱是多少？,每袋化肥的价钱是多少？,1000 24 40,( n0 - n2 ) / n1,40.0,
一间教室长8.8米，宽5.9米，用边长是0.8米的方砖铺地，至少需要买多少块这样的方砖？,一间教室长 [NUM] 米，宽 [NUM] 米，用边长是 [NUM] 米的方砖铺地，至少需要买多少块这样的方砖？,至少需要买多少块这样的方砖？,8.8 5.9 0.8,( n0 * n1 ) / ( n2 * n2 ),81.125,
两辆汽车分别从两地相向开出，甲车每小时行48.3千米，乙车每小时行51.7千米，经过6.3小时两车在途中相遇，两地间的公路长多少千米？,两辆汽车分别从两地相向开出，甲车每小时行 [NUM] 千米，乙车每小时行 [NUM] 千米，经过 [NUM] 小时两车在途中相遇，两地间的公路长多少千米？,两地间的公路长多少千米？,48.3 51.7 6.3,n2 * ( n0 + n1 ),630.0,
某果园里有28棵桃树，梨树的棵数比桃树的4倍少10棵，该果园里有多少棵梨树？,某果园里有 [NUM] 棵桃树，梨树的棵数比桃树的 [NUM] 倍少 [NUM] 棵，该果园里有多少棵梨树？,该果园里有多少棵梨树？,28 4 10,( n0 * n1 ) - n2,102.0,
妈妈买一支牙刷花了3.6元，又买一盒牙膏花了9.5元，一支牙刷比一盒牙膏便宜多少元？,妈妈买一支牙刷花了 [NUM] 元，又买一盒牙膏花了 [NUM] 元，一支牙刷比一盒牙膏便宜多少元？,一支牙刷比一盒牙膏便宜多少元？,3.6 9.5,n1 - n0,5.9,
“十一”黄金周期间，某旅游景区共接待游客15.6万人次，门票收入达780万元．按门票收入的6%缴纳增值税，应缴纳增值税多少万元？,“十一”黄金周期间，某旅游景区共接待游客 [NUM] 万人次，门票收入达 [NUM] 万元．按门票收入的 [NUM] 缴纳增值税，应缴纳增值税多少万元？,应缴纳增值税多少万元？,15.6 780 0.06,n1 * n2,46.8,
一个养鸡场要运出322.5千克鸡蛋．如果每个木箱最多能装15千克鸡蛋，至少需要多少个这样的木箱？,一个养鸡场要运出 [NUM] 千克鸡蛋．如果每个木箱最多能装 [NUM] 千克鸡蛋，至少需要多少个这样的木箱？,至少需要多少个这样的木箱？,322.5 15,n0 / n1,21.5,
三(1)班同学用彩纸粘贴展板面，展板长22分米，宽16分米．贴满这块展板需要彩纸多少平方分米？,三( [NUM] )班同学用彩纸粘贴展板面，展板长 [NUM] 分米，宽 [NUM] 分米．贴满这块展板需要彩纸多少平方分米？,贴满这块展板需要彩纸多少平方分米？,1 22 16,n1 * n2,352.0,
小狗花花的体重是3.5千克，是小猫咪咪体重的5倍。小狗花花比小猫咪咪重多少千克？,小狗花花的体重是 [NUM] 千克，是小猫咪咪体重的 [NUM] 倍。小狗花花比小猫咪咪重多少千克？,小狗花花比小猫咪咪重多少千克？,3.5 5,n0 - ( n0 / n1 ),2.8,
某网络商城周年庆活动期间，任意拼单，满399减90．妈妈选中了一条238元的裙子和一双199元的高跟鞋，下订单时妈妈应付多少元？,某网络商城周年庆活动期间，任意拼单，满 [NUM] 减 [NUM] ．妈妈选中了一条 [NUM] 元的裙子和一双 [NUM] 元的高跟鞋，下订单时妈妈应付多少元？,下订单时妈妈应付多少元？,399 90 238 199,( n2 + n3 ) - n1,347.0,
老师为学校去买课外读物，他发现如果买30本，还剩下160元；如果买35本，还剩下20元。每本读物多少钱？,老师为学校去买课外读物，他发现如果买 [NUM] 本，还剩下 [NUM] 元；如果买 [NUM] 本，还剩下 [NUM] 元。每本读物多少钱？,每本读物多少钱？,30 160 35 20,( n1 - n3 ) / ( n2 - n0 ),28.0,
李叔叔将12000元存入银行，年利率为2.75%，到期时得到利息990元．你知道李叔叔将这些钱存了几年吗？,李叔叔将 [NUM] 元存入银行，年利率为 [NUM] ，到期时得到利息 [NUM] 元．你知道李叔叔将这些钱存了几年吗？,你知道李叔叔将这些钱存了几年吗？,12000 0.0275 990,( n2 / n0 ) / n1,3.0,
A校有学生2030人，B校再添1000人就和A校人数同样多了，C校再去掉400人就和B校人数同样多了，C校有多少人？,A校有学生 [NUM] 人，B校再添 [NUM] 人就和A校人数同样多了，C校再去掉 [NUM] 人就和B校人数同样多了，C校有多少人？,C校有多少人？,2030 1000 400,( n0 - n1 ) + n2,1430.0,
李师傅4小时做20个零件，平均做一个零件需要多少小时？,李师傅 [NUM] 小时做 [NUM] 个零件，平均做一个零件需要多少小时？,平均做一个零件需要多少小时？,4 20,n0 / n1,0.2,
小聪去超市买薯条，每袋薯条4元，小聪给营业员50元，找回了6元，小聪买了多少袋薯条？,小聪去超市买薯条，每袋薯条 [NUM] 元，小聪给营业员 [NUM] 元，找回了 [NUM] 元，小聪买了多少袋薯条？,小聪买了多少袋薯条？,4 50 6,( n1 - n2 ) / n0,11.0,
图书馆有235本历史类书，科学类书是历史书的3倍多49本，图书馆的历史书、科学书共有多少本？,图书馆有 [NUM] 本历史类书，科学类书是历史书的 [NUM] 倍多 [NUM] 本，图书馆的历史书、科学书共有多少本？,图书馆的历史书、科学书共有多少本？,235 3 49,( ( n0 * n1 ) + n2 ) + n0,989.0,
小明的房间长3.8米，宽2.6米，他房间的面积是多少平方米？,小明的房间长 [NUM] 米，宽 [NUM] 米，他房间的面积是多少平方米？,他房间的面积是多少平方米？,3.8 2.6,n0 * n1,9.88,
百合5元一枝，菊花3元一枝，用20元买6枝菊花．找回多少钱？,百合 [NUM] 元一枝，菊花 [NUM] 元一枝，用 [NUM] 元买 [NUM] 枝菊花．找回多少钱？,找回多少钱？,5 3 20 6,n2 - ( n3 * n1 ),2.0,
"某商店进了10箱笔记本,每箱有175本,商店附近的学校有750个学生,如果每个学生买2本,学生一共买走了多少本？","某商店进了 [NUM] 箱笔记本,每箱有 [NUM] 本,商店附近的学校有 [NUM] 个学生,如果每个学生买 [NUM] 本,学生一共买走了多少本？",学生一共买走了多少本？,10 175 750 2,n3 * n2,1500.0,
新年联欢会，同学们用4张纸做了12个纸鹤.如果用6张纸，可以做多少个纸鹤？,新年联欢会，同学们用 [NUM] 张纸做了 [NUM] 个纸鹤.如果用 [NUM] 张纸，可以做多少个纸鹤？,可以做多少个纸鹤？,4 12 6,n2 * ( n1 / n0 ),18.0,
"买一套舞蹈服需要98元,8名队员,每人买一套共需要多少钱?","买一套舞蹈服需要 [NUM] 元, [NUM] 名队员,每人买一套共需要多少钱?",每人买一套共需要多少钱?,98 8,n0 * n1,784.0,
小华的房间用了167块边长0.3米的正方形地砖铺地，小华房间的面积大约是多少平方米？(得数保留整数),小华的房间用了 [NUM] 块边长 [NUM] 米的正方形地砖铺地，小华房间的面积大约是多少平方米？(得数保留整数),小华房间的面积大约是多少平方米？(得数保留整数),167 0.3,( n1 * n1 ) * n0,15.03,
一个木盒里装有30颗同种型号的钢珠，连盒重330克．取出10颗钢珠后，连盒重270克．每颗钢珠重多少克？,一个木盒里装有 [NUM] 颗同种型号的钢珠，连盒重 [NUM] 克．取出 [NUM] 颗钢珠后，连盒重 [NUM] 克．每颗钢珠重多少克？,每颗钢珠重多少克？,30 330 10 270,( n1 - n3 ) / n2,6.0,
一艘游轮有300个座位，已经售出185张票，现在有一个118人的旅游团想上船，只能上几个人？,一艘游轮有 [NUM] 个座位，已经售出 [NUM] 张票，现在有一个 [NUM] 人的旅游团想上船，只能上几个人？,只能上几个人？,300 185 118,n0 - n1,115.0,
小明从家骑车到奶奶家，行了10分钟，每分钟行200米，骑到半路，自行车坏了，只好步行，每分钟走76米，又走了5分钟才到奶奶家．小明骑自行车行了多少米？,小明从家骑车到奶奶家，行了 [NUM] 分钟，每分钟行 [NUM] 米，骑到半路，自行车坏了，只好步行，每分钟走 [NUM] 米，又走了 [NUM] 分钟才到奶奶家．小明骑自行车行了多少米？,小明骑自行车行了多少米？,10 200 76 5,n0 * n1,2000.0,
某公司要购买30台仪器，每台仪器240元，需要准备多少元？,某公司要购买 [NUM] 台仪器，每台仪器 [NUM] 元，需要准备多少元？,需要准备多少元？,30 240,n1 * n0,7200.0,
在希望小学举行的田径运动会上，有女运动员50人，占所有运动员的25%，教练人数是所有运动员的5%，教练有多少人？,在希望小学举行的田径运动会上，有女运动员 [NUM] 人，占所有运动员的 [NUM] ，教练人数是所有运动员的 [NUM] ，教练有多少人？,教练有多少人？,50 0.25 0.05,( n0 / n1 ) * n2,10.0,
某地通讯公司通话的收费标准有两种:第一种:月租18元，通话费每分钟0.18元；第二种:无月租，通话费每分钟0.22元．如果每月的通话时间为150分钟，第二种的标准需要收费多少元？,某地通讯公司通话的收费标准有两种:第一种:月租 [NUM] 元，通话费每分钟 [NUM] 元；第二种:无月租，通话费每分钟 [NUM] 元．如果每月的通话时间为 [NUM] 分钟，第二种的标准需要收费多少元？,第二种的标准需要收费多少元？,18 0.18 0.22 150,n3 * n2,33.0,
小明身高1.52米，他站在0.3米高的凳子上时，比小亮高0.03米。小亮的身高是多少米？,小明身高 [NUM] 米，他站在 [NUM] 米高的凳子上时，比小亮高 [NUM] 米。小亮的身高是多少米？,小亮的身高是多少米？,1.52 0.3 0.03,( n0 + n1 ) - n2,1.79,
在一次团体操表演中，有120人参加，分成4个方阵，每个方阵分成3个小组。每个小组有多少人？,在一次团体操表演中，有 [NUM] 人参加，分成 [NUM] 个方阵，每个方阵分成 [NUM] 个小组。每个小组有多少人？,每个小组有多少人？,120 4 3,( n0 / n1 ) / n2,10.0,
水族馆第一天卖出365张门票，第二天上午卖出112张，下午卖出235张．这两天一共卖出多少张门票？,水族馆第一天卖出 [NUM] 张门票，第二天上午卖出 [NUM] 张，下午卖出 [NUM] 张．这两天一共卖出多少张门票？,这两天一共卖出多少张门票？,365 112 235,( n1 + n2 ) + n0,712.0,
东东妈去买水果，买了4千克苹果，比芒果多1千克．苹果和芒果一共买了多少千克？,东东妈去买水果，买了 [NUM] 千克苹果，比芒果多 [NUM] 千克．苹果和芒果一共买了多少千克？,苹果和芒果一共买了多少千克？,4 1,( n0 - n1 ) + n0,7.0,
运动店每件外套原价165元，店庆促销活动，买18件外套的钱现在可以多买4件，每件外套便宜了多少元？,运动店每件外套原价 [NUM] 元，店庆促销活动，买 [NUM] 件外套的钱现在可以多买 [NUM] 件，每件外套便宜了多少元？,每件外套便宜了多少元？,165 18 4,n0 - ( ( n0 * n1 ) / ( n1 + n2 ) ),30.0,
列式计算。一个数，先加上154，再加上83，结果为536，这个数是多少？,列式计算。一个数，先加上 [NUM] ，再加上 [NUM] ，结果为 [NUM] ，这个数是多少？,这个数是多少？,154 83 536,( n2 - n0 ) - n1,299.0,
小明创作了一部小说，在出版社出版后获得稿酬7000元，按规定，稿费超过800元的部分要按14%的税率缴纳个人所得税．小明实际得到稿费多少元？,小明创作了一部小说，在出版社出版后获得稿酬 [NUM] 元，按规定，稿费超过 [NUM] 元的部分要按 [NUM] 的税率缴纳个人所得税．小明实际得到稿费多少元？,小明实际得到稿费多少元？,7000 800 0.14,n0 - ( ( n0 - n1 ) * n2 ),6132.0,
人民小学共有学生930人，有265人在东教学楼上课，有387人在西教学楼上课，其余的学生都在北教学楼上课．在北教学楼上课的学生有多少人？,人民小学共有学生 [NUM] 人，有 [NUM] 人在东教学楼上课，有 [NUM] 人在西教学楼上课，其余的学生都在北教学楼上课．在北教学楼上课的学生有多少人？,在北教学楼上课的学生有多少人？,930 265 387,( n0 - n1 ) - n2,278.0,
一块正方形菜地的边长是9米，如果每平方米收白菜10.5千克，这块菜地可收白菜多少千克？,一块正方形菜地的边长是 [NUM] 米，如果每平方米收白菜 [NUM] 千克，这块菜地可收白菜多少千克？,这块菜地可收白菜多少千克？,9 10.5,( n0 * n0 ) * n1,850.5,
做一套衣服用布2.4米，90米布可以做多少套衣服？（按照实际情况取值）,做一套衣服用布 [NUM] 米， [NUM] 米布可以做多少套衣服？（按照实际情况取值）, [NUM] 米布可以做多少套衣服？（按照实际情况取值）,2.4 90,n1 / n0,37.5,
某家具厂要做1680张办公桌，已经做了768张，剩下的要12天完成。平均每天要做多少张办公桌？,某家具厂要做 [NUM] 张办公桌，已经做了 [NUM] 张，剩下的要 [NUM] 天完成。平均每天要做多少张办公桌？,平均每天要做多少张办公桌？,1680 768 12,( n0 - n1 ) / n2,76.0,
一辆公交车可以载客32人，4辆这样的公交车可以载客多少人？,一辆公交车可以载客 [NUM] 人， [NUM] 辆这样的公交车可以载客多少人？, [NUM] 辆这样的公交车可以载客多少人？,32 4,n0 * n1,128.0,
一只蚂蚁的体重是5克，一只乌龟的体重是一只蚂蚁的300倍多10克，一只乌龟的体重是多少克？,一只蚂蚁的体重是 [NUM] 克，一只乌龟的体重是一只蚂蚁的 [NUM] 倍多 [NUM] 克，一只乌龟的体重是多少克？,一只乌龟的体重是多少克？,5 300 10,( n0 * n1 ) + n2,1510.0,
校园里有一片长40米、宽20米的长方形小树林．如果每平方米小树林每月释放2千克氧气，这片小树林每月一共释放多少千克氧气？,校园里有一片长 [NUM] 米、宽 [NUM] 米的长方形小树林．如果每平方米小树林每月释放 [NUM] 千克氧气，这片小树林每月一共释放多少千克氧气？,这片小树林每月一共释放多少千克氧气？,40 20 2,( n0 * n1 ) * n2,1600.0,
A、B两地相距1350千米，一列火车从A地开往B地，平均每小时行驶108千米，行驶12小时后，离B地还有多远？,A、B两地相距 [NUM] 千米，一列火车从A地开往B地，平均每小时行驶 [NUM] 千米，行驶 [NUM] 小时后，离B地还有多远？,离B地还有多远？,1350 108 12,n0 - ( n1 * n2 ),54.0,
一块长方形地，长36米，比宽长12米，在周围围上篱笆，这块地多大？,一块长方形地，长 [NUM] 米，比宽长 [NUM] 米，在周围围上篱笆，这块地多大？,这块地多大？,36 12,n0 * ( n0 - n1 ),864.0,
"张叔叔买了三本书,价格分别是7.80元、5.65元、6.20元,他付了20元钱,应找回多少元钱?","张叔叔买了三本书,价格分别是 [NUM] 元、 [NUM] 元、 [NUM] 元,他付了 [NUM] 元钱,应找回多少元钱?",应找回多少元钱?,7.8 5.65 6.2 20,( ( n3 - n0 ) - n1 ) - n2,0.35,
游乐园里上午有游客337人，中午清园后，下午的游客比上午少138人，这一天游乐园里共有游客多少人？,游乐园里上午有游客 [NUM] 人，中午清园后，下午的游客比上午少 [NUM] 人，这一天游乐园里共有游客多少人？,这一天游乐园里共有游客多少人？,337 138,( n0 - n1 ) + n0,536.0,
光明小学为山区同学捐书，四年级捐240本，五年级捐的是四年级的2倍，四年级和五年级共捐多少本？,光明小学为山区同学捐书，四年级捐 [NUM] 本，五年级捐的是四年级的 [NUM] 倍，四年级和五年级共捐多少本？,四年级和五年级共捐多少本？,240 2,n0 + ( n0 * n1 ),720.0,
截止2016年底全国现有吸毒人员212.75万人，2017底全国现有吸毒人员是2016年底全国吸毒人员数的1.2倍，2017底全国现有吸毒人员多少万人？,截止 [NUM] 年底全国现有吸毒人员 [NUM] 万人， [NUM] 底全国现有吸毒人员是 [NUM] 年底全国吸毒人员数的 [NUM] 倍， [NUM] 底全国现有吸毒人员多少万人？, [NUM] 底全国现有吸毒人员多少万人？,2016 212.75 2017 2016 1.2 2017,n1 * n4,255.3,
为了测算某品牌汽车的综合油耗，小王驾车在郊区、环城高速和市区共行驶了128千米，其中在郊区和环城高速行驶的路程各占全程的40%，该汽车在市区行驶了多少千米？,为了测算某品牌汽车的综合油耗，小王驾车在郊区、环城高速和市区共行驶了 [NUM] 千米，其中在郊区和环城高速行驶的路程各占全程的 [NUM] ，该汽车在市区行驶了多少千米？,该汽车在市区行驶了多少千米？,128 0.4,n0 * ( x1 - ( n1 + n1 ) ),25.6,1
小丽家、小明家和学校在同一条路上（学校同侧），小丽家到学校有456米，小明家到学校有288米，小丽家到小明家有多少米？,小丽家、小明家和学校在同一条路上（学校同侧），小丽家到学校有 [NUM] 米，小明家到学校有 [NUM] 米，小丽家到小明家有多少米？,小丽家到小明家有多少米？,456 288,n0 - n1,168.0,
"星期天,小亮和爸爸、妈妈去商店。爸爸买了一套西装花了590元,妈妈买了一件连衣裙花了280元,小亮买了一个书包花了50元。一共花费多少元？","星期天,小亮和爸爸、妈妈去商店。爸爸买了一套西装花了 [NUM] 元,妈妈买了一件连衣裙花了 [NUM] 元,小亮买了一个书包花了 [NUM] 元。一共花费多少元？",一共花费多少元？,590 280 50,( n0 + n1 ) + n2,920.0,
水果店运来了3筐苹果，每筐30.5千克，一共运来多少千克？,水果店运来了 [NUM] 筐苹果，每筐 [NUM] 千克，一共运来多少千克？,一共运来多少千克？,3 30.5,n0 * n1,91.5,
小明的爸爸做了一次学术讲座，得讲座费2000元，按规定超过800元的部分应缴纳20%的所得税，小明爸爸需要缴多少元的所得税？,小明的爸爸做了一次学术讲座，得讲座费 [NUM] 元，按规定超过 [NUM] 元的部分应缴纳 [NUM] 的所得税，小明爸爸需要缴多少元的所得税？,小明爸爸需要缴多少元的所得税？,2000 800 0.2,( n0 - n1 ) * n2,240.0,
小亚看一本书，第一天看了28页，是第二天看的页数的2倍，第三天看了20页看完了全书，这本书共有多少页？,小亚看一本书，第一天看了 [NUM] 页，是第二天看的页数的 [NUM] 倍，第三天看了 [NUM] 页看完了全书，这本书共有多少页？,这本书共有多少页？,28 2 20,( n0 + ( n0 / n1 ) ) + n2,62.0,
养鸡场用900个鸡蛋孵小鸡，上午孵出了346只小鸡，下午比上午多孵出了108只小鸡．这一天共孵出了多少只小鸡？,养鸡场用 [NUM] 个鸡蛋孵小鸡，上午孵出了 [NUM] 只小鸡，下午比上午多孵出了 [NUM] 只小鸡．这一天共孵出了多少只小鸡？,这一天共孵出了多少只小鸡？,900 346 108,( n1 + n1 ) + n2,800.0,
一个长方形长120厘米，如果长减少36厘米，就成了正方形，那么长方形的面积是多少平方厘米？,一个长方形长 [NUM] 厘米，如果长减少 [NUM] 厘米，就成了正方形，那么长方形的面积是多少平方厘米？,那么长方形的面积是多少平方厘米？,120 36,n0 * ( n0 - n1 ),10080.0,
张叔叔带了30元，在文具店买了1支售价9元的钢笔后，剩下的钱能买多少支售价7元的圆珠笔？,张叔叔带了 [NUM] 元，在文具店买了 [NUM] 支售价 [NUM] 元的钢笔后，剩下的钱能买多少支售价 [NUM] 元的圆珠笔？,剩下的钱能买多少支售价 [NUM] 元的圆珠笔？,30 1 9 7,( n0 - n2 ) / n3,3.0,
水果店里有苹果525千克，苹果比梨多186千克．水果店里的苹果和梨一共有多少千克？,水果店里有苹果 [NUM] 千克，苹果比梨多 [NUM] 千克．水果店里的苹果和梨一共有多少千克？,水果店里的苹果和梨一共有多少千克？,525 186,( n0 - n1 ) + n0,864.0,
石头家铺客厅，用边长3分米的方砖铺，需224块；如果用边长4分米的方砖铺需要多少块？,石头家铺客厅，用边长 [NUM] 分米的方砖铺，需 [NUM] 块；如果用边长 [NUM] 分米的方砖铺需要多少块？,如果用边长 [NUM] 分米的方砖铺需要多少块？,3 224 4,( ( n0 * n0 ) * n1 ) / ( n2 * n2 ),126.0,
一台学习机的价格是234元，小红的妈妈每月给她26元零用钱。小红至少攒几个月的零用钱才能买到这台学习机？,一台学习机的价格是 [NUM] 元，小红的妈妈每月给她 [NUM] 元零用钱。小红至少攒几个月的零用钱才能买到这台学习机？,小红至少攒几个月的零用钱才能买到这台学习机？,234 26,n0 / n1,9.0,
妈妈在香港给淘气买了一套变形金刚玩具，花了425港元，折合人民币多少元?(1港元兑换人民币0.81元),妈妈在香港给淘气买了一套变形金刚玩具，花了 [NUM] 港元，折合人民币多少元?( [NUM] 港元兑换人民币 [NUM] 元),折合人民币多少元?( [NUM] 港元兑换人民币 [NUM] 元),425 1 0.81,n0 * n2,344.25,
14个鸡蛋重2千克，平均一个鸡蛋约重多少千克？, [NUM] 个鸡蛋重 [NUM] 千克，平均一个鸡蛋约重多少千克？,平均一个鸡蛋约重多少千克？,14 2,n1 / n0,0.1429,
一种科技书每本2.5元，每箱有80本，买20箱这样的科技书要多少元？,一种科技书每本 [NUM] 元，每箱有 [NUM] 本，买 [NUM] 箱这样的科技书要多少元？,买 [NUM] 箱这样的科技书要多少元？,2.5 80 20,( n2 * n1 ) * n0,4000.0,
把100千克苹果装到箱子里，每箱装8千克，至少需要多少个箱子？,把 [NUM] 千克苹果装到箱子里，每箱装 [NUM] 千克，至少需要多少个箱子？,至少需要多少个箱子？,100 8,n0 / n1,12.5,
玩具厂有男职工235人，女职工的人数比男职工的3倍少6人。女职工有多少人？,玩具厂有男职工 [NUM] 人，女职工的人数比男职工的 [NUM] 倍少 [NUM] 人。女职工有多少人？,女职工有多少人？,235 3 6,( n0 * n1 ) - n2,699.0,
大米每千克1.5元，小明的妈妈买了25千克，她付给营业员50元，应找回多少钱？,大米每千克 [NUM] 元，小明的妈妈买了 [NUM] 千克，她付给营业员 [NUM] 元，应找回多少钱？,应找回多少钱？,1.5 25 50,n2 - ( n1 * n0 ),12.5,
小丽家今年养鸡485只，比去年多养169只，小丽家两年共养鸡多少只？,小丽家今年养鸡 [NUM] 只，比去年多养 [NUM] 只，小丽家两年共养鸡多少只？,小丽家两年共养鸡多少只？,485 169,( n0 - n1 ) + n0,801.0,
