Text,Problem,Question,Numbers,Equation,Answer
29 birds were sitting in a tree . some more fly up to the tree . then there were 42 birds in the tree . how many more flew up to the tree ?,[NUM] birds were sitting in a tree . some more fly up to the tree . then there were [NUM] birds in the tree . how many more flew up to the tree ?,how many more flew up to the tree ?,29 42,n1 - n0,13
18 children were riding on the bus . at the bus stop some more children got on the bus . then there were 25 children altogether on the bus . how many children got on the bus at the bus stop ?,[NUM] children were riding on the bus . at the bus stop some more children got on the bus . then there were [NUM] children altogether on the bus . how many children got on the bus at the bus stop ?,how many children got on the bus at the bus stop ?,18 25,n1 - n0,7
there were 28 girls and 35 boys on the playground at recess . how many children were there in all ?,there were [NUM] girls and [NUM] boys on the playground at recess . how many children were there in all ?,how many children were there in all ?,28 35,n0 + n1,63
the elephant had 407 peanuts . she ate 129 of them . how many peanuts did the elephant have left ?,the elephant had [NUM] peanuts . she ate [NUM] of them . how many peanuts did the elephant have left ?,how many peanuts did the elephant have left ?,407 129,n0 - n1,278
there were 58 geese and 37 ducks in the marsh . how many birds were there in all ?,there were [NUM] geese and [NUM] ducks in the marsh . how many birds were there in all ?,how many birds were there in all ?,58 37,n0 + n1,95
robin had 18 pieces of gum . her brother gave her some more pieces . now robin has 44 pieces in all . how many pieces of gum did robin 's brother give her ?,robin had [NUM] pieces of gum . her brother gave her some more pieces . now robin has [NUM] pieces in all . how many pieces of gum did robin 's brother give her ?,how many pieces of gum did robin 's brother give her ?,18 44,n1 - n0,26
tommy had some balloons . his mom gave him 34 more balloons for his birthday . then tommy had 60 balloons . how many balloons did tommy have to start with ?,tommy had some balloons . his mom gave him [NUM] more balloons for his birthday . then tommy had [NUM] balloons . how many balloons did tommy have to start with ?,how many balloons did tommy have to start with ?,34 60,n1 - n0,26
alex had some candles for his jack o'lanterns . he used 32 of them . now he has 12 left . how many candles did alex have to start with ?,alex had some candles for his jack o'lanterns . he used [NUM] of them . now he has [NUM] left . how many candles did alex have to start with ?,how many candles did alex have to start with ?,32 12,n0 + n1,44
there were 14 kids on the soccer field . 22 kids decided to join in . now how many kids are on the soccer field ?,there were [NUM] kids on the soccer field . [NUM] kids decided to join in . now how many kids are on the soccer field ?,now how many kids are on the soccer field ?,14 22,n0 + n1,36
finn has 89 goldfish . 32 of the goldfish die . how many goldfish are left ?,finn has [NUM] goldfish . [NUM] of the goldfish die . how many goldfish are left ?,how many goldfish are left ?,89 32,n0 - n1,57
jane has 28 old brown sheets of drawing paper and 27 old yellow sheets of drawing paper . how many pieces of drawing paper does she have ?,jane has [NUM] old brown sheets of drawing paper and [NUM] old yellow sheets of drawing paper . how many pieces of drawing paper does she have ?,how many pieces of drawing paper does she have ?,28 27,n0 + n1,55
mikey had 356 leaves . some of her leaves blew away . now she has 112 leaves left . how many of her leaves blew away ?,mikey had [NUM] leaves . some of her leaves blew away . now she has [NUM] leaves left . how many of her leaves blew away ?,how many of her leaves blew away ?,356 112,n0 - n1,244
marcus has 210 baseball cards . he has 58 more than carter . how many baseball cards does carter have ?,marcus has [NUM] baseball cards . he has [NUM] more than carter . how many baseball cards does carter have ?,how many baseball cards does carter have ?,210 58,n0 - n1,152
gavin has 23 shirts . 6 are blue the rest are green . how many green shirts does gavin have ?,gavin has [NUM] shirts . [NUM] are blue the rest are green . how many green shirts does gavin have ?,how many green shirts does gavin have ?,23 6,n0 - n1,17
ethan has 31 presents . alissa has 22 more than ethan . how many presents does alissa have ?,ethan has [NUM] presents . alissa has [NUM] more than ethan . how many presents does alissa have ?,how many presents does alissa have ?,31 22,n0 + n1,53
on the first day of the week pat had 39 stickers . pat earned 22 more during the week . how many stickers did pat have at the end of the week ?,on the first day of the week pat had [NUM] stickers . pat earned [NUM] more during the week . how many stickers did pat have at the end of the week ?,how many stickers did pat have at the end of the week ?,39 22,n0 + n1,61
kelly had 56 apples . how many more apples does kelly need to pick to have 105 apples altogether ?,kelly had [NUM] apples . how many more apples does kelly need to pick to have [NUM] apples altogether ?,how many more apples does kelly need to pick to have [NUM] apples altogether ?,56 105,n1 - n0,49
todd has some gum . steve gave him 16 more pieces of gum . now todd has 54 pieces of gum . how many pieces did todd have to start with ?,todd has some gum . steve gave him [NUM] more pieces of gum . now todd has [NUM] pieces of gum . how many pieces did todd have to start with ?,how many pieces did todd have to start with ?,16 54,n1 - n0,38
josh had 142 pencils . he gave 31 pencils to dorothy . how many pencils does josh have left ?,josh had [NUM] pencils . he gave [NUM] pencils to dorothy . how many pencils does josh have left ?,how many pencils does josh have left ?,142 31,n0 - n1,111
nell collects baseball cards . she had 304 cards . she gave some of her cards to jeff and now has 276 cards left . how many cards did nell give to jeff ?,nell collects baseball cards . she had [NUM] cards . she gave some of her cards to jeff and now has [NUM] cards left . how many cards did nell give to jeff ?,how many cards did nell give to jeff ?,304 276,n0 - n1,28
there are 40 boys and some girls on the playground . there are 117 children altogether . how many girls are on the playground ?,there are [NUM] boys and some girls on the playground . there are [NUM] children altogether . how many girls are on the playground ?,how many girls are on the playground ?,40 117,n1 - n0,77
carla has some marbles . she bought 134 marbles . now she has 187 marbles . how many did she start with ?,carla has some marbles . she bought [NUM] marbles . now she has [NUM] marbles . how many did she start with ?,how many did she start with ?,134 187,n1 - n0,53
paco had 35 cookies . he ate 6 of them . how many cookies did paco have left ?,paco had [NUM] cookies . he ate [NUM] of them . how many cookies did paco have left ?,how many cookies did paco have left ?,35 6,n0 - n1,29
connie has 41 red markers and 64 blue markers . how many markers does she have altogether ?,connie has [NUM] red markers and [NUM] blue markers . how many markers does she have altogether ?,how many markers does she have altogether ?,41 64,n0 + n1,105
joe had 50 toy cars . if he gets 12 more cars how many cars will he have then ?,joe had [NUM] toy cars . if he gets [NUM] more cars how many cars will he have then ?,how many cars will he have then ?,50 12,n0 + n1,62
there are 64 pigs in the barn . some more come to join them . now there are 86 pigs . how many pigs came to join them ?,there are [NUM] pigs in the barn . some more come to join them . now there are [NUM] pigs . how many pigs came to join them ?,how many pigs came to join them ?,64 86,n1 - n0,22
rosa had 67 flowers . andre gave her some more flowers . now rosa has 90 flowers . how many flowers did andre give to rosa ?,rosa had [NUM] flowers . andre gave her some more flowers . now rosa has [NUM] flowers . how many flowers did andre give to rosa ?,how many flowers did andre give to rosa ?,67 90,n1 - n0,23
adolfo made a tower with 35 blocks . he added some more blocks and now he has 65 blocks . how many did he have to add ?,adolfo made a tower with [NUM] blocks . he added some more blocks and now he has [NUM] blocks . how many did he have to add ?,how many did he have to add ?,35 65,n1 - n0,30
lucy put 68 shells in her bucket . she found some more shells and now she has 89 shells . how many more did she find ?,lucy put [NUM] shells in her bucket . she found some more shells and now she has [NUM] shells . how many more did she find ?,how many more did she find ?,68 89,n1 - n0,21
josh had 16 marbles in his collection . he lost 7 marbles . how many marbles does he have now ?,josh had [NUM] marbles in his collection . he lost [NUM] marbles . how many marbles does he have now ?,how many marbles does he have now ?,16 7,n0 - n1,9
megan has 19 seashells . how many more seashells does she need to find to have 25 seashells in her collection ?,megan has [NUM] seashells . how many more seashells does she need to find to have [NUM] seashells in her collection ?,how many more seashells does she need to find to have [NUM] seashells in her collection ?,19 25,n1 - n0,6
brad has 17 balloons . 8 balloons are red and the rest are green . how many green balloons does brad have ?,brad has [NUM] balloons . [NUM] balloons are red and the rest are green . how many green balloons does brad have ?,how many green balloons does brad have ?,17 8,n0 - n1,9
there are 38 books on the shelf . marta put 10 more books on the shelf . how many books are on the shelf now ?,there are [NUM] books on the shelf . marta put [NUM] more books on the shelf . how many books are on the shelf now ?,how many books are on the shelf now ?,38 10,n0 + n1,48
mrs. hilt wants to make a border around her garden . she needs 125 rocks to complete the border . she has 64 rocks . how many more rocks does she need to complete the border ?,mrs. hilt wants to make a border around her garden . she needs [NUM] rocks to complete the border . she has [NUM] rocks . how many more rocks does she need to complete the border ?,how many more rocks does she need to complete the border ?,125 64,n0 - n1,61
mrs. hilt had 38 marbles . she lost 15 of them . how many marbles does she have left ?,mrs. hilt had [NUM] marbles . she lost [NUM] of them . how many marbles does she have left ?,how many marbles does she have left ?,38 15,n0 - n1,23
mrs. hilt and her sister drove to a concert 78 miles away . they drove 32 miles and then stopped for gas . her sister put 28 gallons of gas in the car . how many miles did they have left to drive ?,mrs. hilt and her sister drove to a concert [NUM] miles away . they drove [NUM] miles and then stopped for gas . her sister put [NUM] gallons of gas in the car . how many miles did they have left to drive ?,how many miles did they have left to drive ?,78 32 28,n0 - n1,46
mrs. hilt saw 33 butterflies . some of the butterflies were red and others were orange . if 20 of the butterflies were orange how many of them were red ?,mrs. hilt saw [NUM] butterflies . some of the butterflies were red and others were orange . if [NUM] of the butterflies were orange how many of them were red ?,how many of them were red ?,33 20,n0 - n1,13
on tuesday mrs. hilt saw 88 raisins on a tray in the cafeteria . that was 8 more raisins than she saw the day before . how many raisins were on the table on monday ?,on tuesday mrs. hilt saw [NUM] raisins on a tray in the cafeteria . that was [NUM] more raisins than she saw the day before . how many raisins were on the table on monday ?,how many raisins were on the table on monday ?,88 8,n0 - n1,80
"Mrs. hilt saw 21 snakes , 11 alligators , 36 frogs and 57 bears . how many reptiles did mrs. hilt see ?","Mrs. hilt saw [NUM] snakes , [NUM] alligators , [NUM] frogs and [NUM] bears . how many reptiles did mrs. hilt see ?",how many reptiles did mrs. hilt see ?,21 11 36 57,n0 + n1,32
zach scored 42 points in the football game . ben scored 21 points . how many more points did zach score ?,zach scored [NUM] points in the football game . ben scored [NUM] points . how many more points did zach score ?,how many more points did zach score ?,42 21,n0 - n1,21
kate has 223 pennies . john has 388 pennies . how many more pennies does john have ?,kate has [NUM] pennies . john has [NUM] pennies . how many more pennies does john have ?,how many more pennies does john have ?,223 388,n1 - n0,165
mark has 13 trees in his backyard . if he plants 12 more how many trees will he have ?,mark has [NUM] trees in his backyard . if he plants [NUM] more how many trees will he have ?,how many trees will he have ?,13 12,n0 + n1,25
dan has $ 3.00 . he bought a candy bar for $ 1.00 . how much money is left ?,dan has $ [NUM] . he bought a candy bar for $ [NUM] . how much money is left ?,how much money is left ?,3.00 1.00,n0 - n1,2
charlie has 31 more snowballs than lucy . she has 19 snowballs . how many does charlie have ?,charlie has [NUM] more snowballs than lucy . she has [NUM] snowballs . how many does charlie have ?,how many does charlie have ?,31 19,n0 + n1,50
randy has 78 blocks . he uses 19 blocks to build a tower . how many blocks are left ?,randy has [NUM] blocks . he uses [NUM] blocks to build a tower . how many blocks are left ?,how many blocks are left ?,78 19,n0 - n1,59
gino has 15 brown bears 24 white bears and 27 black bears . how many bears does gino have ?,gino has [NUM] brown bears [NUM] white bears and [NUM] black bears . how many bears does gino have ?,how many bears does gino have ?,15 24 27,( n0 + n1 ) + n2,66
morgan has 65 red pens 45 blue pens and 58 black pens . how many pens does she have ?,morgan has [NUM] red pens [NUM] blue pens and [NUM] black pens . how many pens does she have ?,how many pens does she have ?,65 45 58,( n0 + n1 ) + n2,168
bryan has 50 skittles . ben has 20 m & m 's . how many more does brian have ?,bryan has [NUM] skittles . ben has [NUM] m & m 's . how many more does brian have ?,how many more does brian have ?,50 20,n0 - n1,30
while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have 9 nails left and charlie bought 2 boxes of nails the big 1 containing 55 nails and the small 1 containing 31 how many nails will they have ?,while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have [NUM] nails left and charlie bought [NUM] boxes of nails the big [NUM] containing [NUM] nails and the small [NUM] containing [NUM] how many nails will they have ?,how many nails will they have ?,9 2 1 55 1 31,( n0 + n5 ) + n3,95
the treehouse is almost done ; all they need is to paint it . his father estimated that they will use 20 ounces of white paint 15 ounces of green paint and 34 ounces of brown paint . how many ounces of paint would they buy in total ?,the treehouse is almost done ; all they need is to paint it . his father estimated that they will use [NUM] ounces of white paint [NUM] ounces of green paint and [NUM] ounces of brown paint . how many ounces of paint would they buy in total ?,how many ounces of paint would they buy in total ?,20 15 34,( n0 + n1 ) + n2,69
upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate 15 cookies his father ate 10 and his mother only ate 5 how many cookies were eaten in total ?,upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate [NUM] cookies his father ate [NUM] and his mother only ate [NUM] how many cookies were eaten in total ?,how many cookies were eaten in total ?,15 10 5,( n0 + n1 ) + n2,30
annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought 15 pieces of pepperoni 10 pieces of salami and 30 pieces of bacon as meat ingredients how many pieces of meat did she buy in total ?,annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought [NUM] pieces of pepperoni [NUM] pieces of salami and [NUM] pieces of bacon as meat ingredients how many pieces of meat did she buy in total ?,how many pieces of meat did she buy in total ?,15 10 30,( n0 + n1 ) + n2,55
andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring 30 hotdogs on sticks 20 pieces of bite-sized cheese pops and 40 pieces of chicken nuggets . how many portions of appetizers did andrew bring in all ?,andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring [NUM] hotdogs on sticks [NUM] pieces of bite-sized cheese pops and [NUM] pieces of chicken nuggets . how many portions of appetizers did andrew bring in all ?,how many portions of appetizers did andrew bring in all ?,30 20 40,( n0 + n1 ) + n2,90
annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made 25 glasses of orange juice 15 glasses of grape juice and 5 glasses of apple juice . how many glasses of juice would there be ?,annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made [NUM] glasses of orange juice [NUM] glasses of grape juice and [NUM] glasses of apple juice . how many glasses of juice would there be ?,how many glasses of juice would there be ?,25 15 5,( n0 + n1 ) + n2,45
on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has 15 girl classmates 20 boy classmates and 3 teachers in her class how many people attended her birthday party ?,on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has [NUM] girl classmates [NUM] boy classmates and [NUM] teachers in her class how many people attended her birthday party ?,how many people attended her birthday party ?,15 20 3,( n0 + n1 ) + n2,38
the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has 5 chewing gums sam has 10 chewing gums and sue has 15 chewing gums how many chewing gums did the 3 have in all ?,the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has [NUM] chewing gums sam has [NUM] chewing gums and sue has [NUM] chewing gums how many chewing gums did the [NUM] have in all ?,how many chewing gums did the [NUM] have in all ?,5 10 15 3,( n0 + n1 ) + n2,30
the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of 10 chewing gums 15 chocolate bars and 20 assorted fruit candies . how many candies did she get in total ?,the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of [NUM] chewing gums [NUM] chocolate bars and [NUM] assorted fruit candies . how many candies did she get in total ?,how many candies did she get in total ?,10 15 20,( n0 + n1 ) + n2,45
after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the 3 of them got . they were able to sort out 60 chewing gums 55 chocolate bars and another 40 candies of different flavors . how many treats did mary john and sue have in total ?,after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the [NUM] of them got . they were able to sort out [NUM] chewing gums [NUM] chocolate bars and another [NUM] candies of different flavors . how many treats did mary john and sue have in total ?,how many treats did mary john and sue have in total ?,3 60 55 40,( n1 + n2 ) + n3,155
it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid 55 eggs around the club house 33 eggs around the village park and 22 eggs in the town hall garden . how many eggs were hidden in total ?,it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid [NUM] eggs around the club house [NUM] eggs around the village park and [NUM] eggs in the town hall garden . how many eggs were hidden in total ?,how many eggs were hidden in total ?,55 33 22,( n0 + n1 ) + n2,110
joe 1 of the best easter egg hunters found 12 eggs around the club house 5 eggs around the park and 3 eggs in the town hall garden . how many eggs did joe find ?,joe [NUM] of the best easter egg hunters found [NUM] eggs around the club house [NUM] eggs around the park and [NUM] eggs in the town hall garden . how many eggs did joe find ?,how many eggs did joe find ?,1 12 5 3,( n1 + n2 ) + n3,20
the rest of the kids around town got 13 more eggs around the club house 9 eggs around the park and 8 eggs in the town hall garden . if we add all the eggs that they got how many eggs would that be ?,the rest of the kids around town got [NUM] more eggs around the club house [NUM] eggs around the park and [NUM] eggs in the town hall garden . if we add all the eggs that they got how many eggs would that be ?,how many eggs would that be ?,13 9 8,( n0 + n2 ) + n1,30
if the all the participants found a total 40 eggs from the club house 25 eggs from the park and 15 eggs from the town hall how many easter eggs were found that day ?,if the all the participants found a total [NUM] eggs from the club house [NUM] eggs from the park and [NUM] eggs from the town hall how many easter eggs were found that day ?,how many easter eggs were found that day ?,40 25 15,( n0 + n1 ) + n2,80
penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has 3 species of eagles on show that day . they have 20 bald eagles 15 harpy eagles and 30 crowned eagles . how many eagles are on display that day ?,penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has [NUM] species of eagles on show that day . they have [NUM] bald eagles [NUM] harpy eagles and [NUM] crowned eagles . how many eagles are on display that day ?,how many eagles are on display that day ?,3 20 15 30,( n1 + n2 ) + n3,65
after the aviary was the zoo 's swamp area . penny counted a total of 55 tree frogs 10 poison frogs and 13 wood frogs . how many frogs was penny able to count ?,after the aviary was the zoo 's swamp area . penny counted a total of [NUM] tree frogs [NUM] poison frogs and [NUM] wood frogs . how many frogs was penny able to count ?,how many frogs was penny able to count ?,55 10 13,( n0 + n1 ) + n2,78
aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out 22 crocodiles 23 alligators and 5 vipers . how many dangerous animals did the teacher point out in total ?,aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out [NUM] crocodiles [NUM] alligators and [NUM] vipers . how many dangerous animals did the teacher point out in total ?,how many dangerous animals did the teacher point out in total ?,22 23 5,( n0 + n1 ) + n2,50
next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture 60 species of butterflies 15 species of ants and 20 species of other insects . how many species of insects did penny capture ?,next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture [NUM] species of butterflies [NUM] species of ants and [NUM] species of other insects . how many species of insects did penny capture ?,how many species of insects did penny capture ?,60 15 20,( n0 + n1 ) + n2,95
last stop in their field trip was the aquarium . penny identified 35 species of sharks 15 species of eels and 5 different species of whales . how many species was penny able to identify ?,last stop in their field trip was the aquarium . penny identified [NUM] species of sharks [NUM] species of eels and [NUM] different species of whales . how many species was penny able to identify ?,how many species was penny able to identify ?,35 15 5,( n0 + n1 ) + n2,55
marcus and his friends are starting a recycling project to help the school raise some money for charity . they were tasked to collect different materials and create useful things from those . if marcus was able to gather 25 milk bottles and john was able to gather 20 milk bottles how many milk bottles do they have available for recycling ?,marcus and his friends are starting a recycling project to help the school raise some money for charity . they were tasked to collect different materials and create useful things from those . if marcus was able to gather [NUM] milk bottles and john was able to gather [NUM] milk bottles how many milk bottles do they have available for recycling ?,how many milk bottles do they have available for recycling ?,25 20,n1 + n0,45
chris tasked to lead the newspaper collection was able to obtain 42 newspapers from their neighborhood . if his sister lily helped him and was able to get 23 more newspapers from another block how many newspapers were they able to collect together ?,chris tasked to lead the newspaper collection was able to obtain [NUM] newspapers from their neighborhood . if his sister lily helped him and was able to get [NUM] more newspapers from another block how many newspapers were they able to collect together ?,how many newspapers were they able to collect together ?,42 23,n0 + n1,65
andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up 34 wrappers around the village dumpster and his best friend max was able to collect 15 how many wrappers were gathered in total ?,andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up [NUM] wrappers around the village dumpster and his best friend max was able to collect [NUM] how many wrappers were gathered in total ?,how many wrappers were gathered in total ?,34 15,n0 + n1,49
after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made 26 pen holders from the milk bottles and annie was able to make 37 how many pen holders were made ?,after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made [NUM] pen holders from the milk bottles and annie was able to make [NUM] how many pen holders were made ?,how many pen holders were made ?,26 37,n0 + n1,63
if the group was able to make 65 recycled materials from what they gathered and the teachers were able to make 28 how many recycled products will they be able to sell at the fair ?,if the group was able to make [NUM] recycled materials from what they gathered and the teachers were able to make [NUM] how many recycled products will they be able to sell at the fair ?,how many recycled products will they be able to sell at the fair ?,65 28,n0 + n1,93
robyn and lucy are members of their village 's girl scout troop . during weekends and some weekdays they go around selling cookies in the neighborhood . they have a week before the month ends and they are doing their best to get a badge from selling cookies . working overtime robyn sold 47 packs of cookies while lucy sold 29 how many packs of cookies were they able to sell that day ?,robyn and lucy are members of their village 's girl scout troop . during weekends and some weekdays they go around selling cookies in the neighborhood . they have a week before the month ends and they are doing their best to get a badge from selling cookies . working overtime robyn sold [NUM] packs of cookies while lucy sold [NUM] how many packs of cookies were they able to sell that day ?,many packs of cookies were they able to sell that day ?,47 29,n0 + n1,76
because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold 34 cookies on her first round and 27 on her second round . how many cookies were sold by lucy ?,because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold [NUM] cookies on her first round and [NUM] on her second round . how many cookies were sold by lucy ?,how many cookies were sold by lucy ?,34 27,n0 + n1,61
still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold 55 packs of cookies while lucy sold 43 how many packs were they able to sell that day ?,still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold [NUM] packs of cookies while lucy sold [NUM] how many packs were they able to sell that day ?,many packs were they able to sell that day ?,55 43,n0 + n1,98
with the end of the month coming in 2 days they decided to sell cookies to the neighboring villages as well . if they sold 23 packs on 1 village and 28 on the other how many cookies were they able to sell in the other villages ?,with the end of the month coming in [NUM] days they decided to sell cookies to the neighboring villages as well . if they sold [NUM] packs on [NUM] village and [NUM] on the other how many cookies were they able to sell in the other villages ?,how many cookies were they able to sell in the other villages ?,2 23 1 28,n1 + n3,51
on the day of the awarding ceremony robyn and lucy decided to sell more cookies during the morning to make sure they get the badge . lucy sold 19 packs and robyn sold 16 how many packs did they sell on their last day ?,on the day of the awarding ceremony robyn and lucy decided to sell more cookies during the morning to make sure they get the badge . lucy sold [NUM] packs and robyn sold [NUM] how many packs did they sell on their last day ?,many packs did they sell on their last day ?,19 16,n0 + n1,35
